[MetaData]
Started = 06/03/2026 15:22:10
Duration = 000:05:01
Maximum Temperature = +22.3
Minimum Temperature = +19.2
Average Temperature = +20.95
Maximum Humidity = 68
Minimum Humidity = 51
Average Humidity = 53.8
[/End MetaData]
Temperature\Humidity Graph,Time,Celsius(°C),High Alarm,Low Alarm,Humidity(%rh),High Alarm rh,Low Alarm rh,dew point(°C),High Alarm dew,Low Alarm dew
1,06/03/2026 15:22:10,20.9,,,54,,,011.3,,
2,06/03/2026 15:22:14,20.9,,,54,,,011.3,,
3,06/03/2026 15:22:15,21.5,,,68,,,015.3,,
4,06/03/2026 15:22:18,21.5,,,68,,,015.3,,
5,06/03/2026 15:22:19,21.5,,,62,,,013.9,,
6,06/03/2026 15:22:20,21.7,,,62,,,014.1,,
7,06/03/2026 15:22:24,21.7,,,62,,,014.1,,
8,06/03/2026 15:22:25,21.9,,,58,,,013.3,,
9,06/03/2026 15:22:29,21.9,,,58,,,013.3,,
10,06/03/2026 15:22:30,22.0,,,56,,,012.8,,
11,06/03/2026 15:22:34,22.0,,,56,,,012.8,,
12,06/03/2026 15:22:35,22.1,,,55,,,012.6,,
13,06/03/2026 15:22:38,22.1,,,55,,,012.6,,
14,06/03/2026 15:22:39,22.1,,,54,,,012.4,,
15,06/03/2026 15:22:40,22.2,,,54,,,012.5,,
16,06/03/2026 15:22:44,22.2,,,54,,,012.5,,
17,06/03/2026 15:22:45,22.2,,,53,,,012.2,,
18,06/03/2026 15:22:49,22.2,,,53,,,012.2,,
19,06/03/2026 15:22:50,22.3,,,53,,,012.3,,
20,06/03/2026 15:22:54,22.3,,,53,,,012.3,,
21,06/03/2026 15:22:55,22.3,,,52,,,012.0,,
22,06/03/2026 15:22:59,22.3,,,52,,,012.0,,
23,06/03/2026 15:23:00,22.2,,,52,,,011.9,,
24,06/03/2026 15:23:14,22.2,,,52,,,011.9,,
25,06/03/2026 15:23:15,22.2,,,51,,,011.6,,
26,06/03/2026 15:23:16,22.1,,,51,,,011.5,,
27,06/03/2026 15:23:19,22.1,,,51,,,011.5,,
28,06/03/2026 15:23:20,22.0,,,51,,,011.4,,
29,06/03/2026 15:23:30,22.0,,,51,,,011.4,,
30,06/03/2026 15:23:31,21.9,,,51,,,011.3,,
31,06/03/2026 15:23:35,21.9,,,51,,,011.3,,
32,06/03/2026 15:23:36,21.8,,,51,,,011.2,,
33,06/03/2026 15:23:40,21.8,,,51,,,011.2,,
34,06/03/2026 15:23:42,21.7,,,51,,,011.1,,
35,06/03/2026 15:23:45,21.7,,,51,,,011.1,,
36,06/03/2026 15:23:46,21.6,,,51,,,011.0,,
37,06/03/2026 15:23:54,21.6,,,51,,,011.0,,
38,06/03/2026 15:23:56,21.4,,,52,,,011.1,,
39,06/03/2026 15:24:00,21.4,,,52,,,011.1,,
40,06/03/2026 15:24:01,21.4,,,51,,,010.9,,
41,06/03/2026 15:24:05,21.4,,,51,,,010.9,,
42,06/03/2026 15:24:06,21.3,,,52,,,011.1,,
43,06/03/2026 15:24:11,21.3,,,52,,,011.1,,
44,06/03/2026 15:24:12,21.2,,,52,,,011.0,,
45,06/03/2026 15:24:16,21.2,,,52,,,011.0,,
46,06/03/2026 15:24:17,21.1,,,52,,,010.9,,
47,06/03/2026 15:24:20,21.1,,,52,,,010.9,,
48,06/03/2026 15:24:21,21.0,,,52,,,010.8,,
49,06/03/2026 15:24:30,21.0,,,52,,,010.8,,
50,06/03/2026 15:24:31,20.9,,,52,,,010.7,,
51,06/03/2026 15:24:35,20.9,,,52,,,010.7,,
52,06/03/2026 15:24:36,20.8,,,52,,,010.6,,
53,06/03/2026 15:24:40,20.8,,,52,,,010.6,,
54,06/03/2026 15:24:41,20.7,,,53,,,010.8,,
55,06/03/2026 15:24:46,20.7,,,53,,,010.8,,
56,06/03/2026 15:24:47,20.6,,,53,,,010.7,,
57,06/03/2026 15:24:56,20.6,,,53,,,010.7,,
58,06/03/2026 15:24:57,20.5,,,53,,,010.6,,
59,06/03/2026 15:25:01,20.5,,,53,,,010.6,,
60,06/03/2026 15:25:02,20.4,,,53,,,010.5,,
61,06/03/2026 15:25:11,20.4,,,53,,,010.5,,
62,06/03/2026 15:25:12,20.3,,,53,,,010.4,,
63,06/03/2026 15:25:16,20.3,,,53,,,010.4,,
64,06/03/2026 15:25:17,20.2,,,53,,,010.3,,
65,06/03/2026 15:25:20,20.2,,,53,,,010.3,,
66,06/03/2026 15:25:21,20.2,,,54,,,010.6,,
67,06/03/2026 15:25:27,20.2,,,54,,,010.6,,
68,06/03/2026 15:25:28,20.1,,,54,,,010.5,,
69,06/03/2026 15:25:31,20.1,,,54,,,010.5,,
70,06/03/2026 15:25:32,20.0,,,54,,,010.4,,
71,06/03/2026 15:25:41,20.0,,,54,,,010.4,,
72,06/03/2026 15:25:42,19.9,,,54,,,010.3,,
73,06/03/2026 15:25:46,19.9,,,54,,,010.3,,
74,06/03/2026 15:25:47,19.8,,,54,,,010.2,,
75,06/03/2026 15:25:57,19.8,,,54,,,010.2,,
76,06/03/2026 15:25:58,19.7,,,54,,,010.1,,
77,06/03/2026 15:26:02,19.7,,,54,,,010.1,,
78,06/03/2026 15:26:03,19.6,,,54,,,010.0,,
79,06/03/2026 15:26:16,19.6,,,54,,,010.0,,
80,06/03/2026 15:26:17,19.5,,,55,,,010.2,,
81,06/03/2026 15:26:22,19.5,,,55,,,010.2,,
82,06/03/2026 15:26:23,19.4,,,55,,,010.1,,
83,06/03/2026 15:26:37,19.4,,,55,,,010.1,,
84,06/03/2026 15:26:39,19.3,,,55,,,010.0,,
85,06/03/2026 15:26:42,19.3,,,55,,,010.0,,
86,06/03/2026 15:26:43,19.3,,,56,,,010.3,,
87,06/03/2026 15:26:57,19.3,,,56,,,010.3,,
88,06/03/2026 15:26:58,19.2,,,56,,,010.2,,
89,06/03/2026 15:27:11,19.2,,,56,,,010.2,,
90,06/03/2026 15:27:11,19.2,,,56,,,010.2,,
